title,rating,ranking,director,actors,country,language,date_sortie,production,synopsis
Le Bateau,"8,4",79.0,Wolfgang Petersen,"['Jürgen Prochnow', 'Herbert Grönemeyer', 'Klaus Wennemann']",Allemagne de l'Ouest,"Aussi connu sous le nom de
Das Boot - The Director's Cut",17 février 1982 (France),Twin Bros. Productions,"L'univers claustrophobique d'un sous-marin de guerre allemand. Ennui, crasse et terreur pure."
Avengers: Endgame,"8,4",80.0,Anthony Russo,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo']",États-Unis,Anglais,24 avril 2019 (France),"Lieux de tournage
Durham Cathedral, The College, Durham, County Durham, Angleterre, Royaume-Uni",L'intrigue n'a pas encore été révélée. Ce film sera le quatrième volet de la série «Avengers».
Princesse Mononoké,"8,4",81.0,Hayao Miyazaki,"['Yôji Matsuda(voix)', 'Yuriko Ishida(voix)', 'Yûko Tanaka(voix)']",Japon,"Aussi connu sous le nom de
Princess Mononoke",12 janvier 2000 (France),Voir plus de crédits d'entreprise sur IMDbPro,"En quête d'un remède contre la malédiction d'un Tatarigami, Ashitaka se retrouve plongé au coeur d'une guerre entre les dieux de la forêt et Tatara, une colonie minière. Dans cette quête, il fait la rencontre de San, la princesse Mononoke."
Il était une fois en Amérique,"8,4",82.0,Sergio Leone,"['Robert De Niro', 'James Woods', 'Elizabeth McGovern']",Italie,"Langues
AnglaisItalienFrançaisYiddishHébreu",23 mai 1984 (France),"Aussi connu sous le nom de
Once Upon a Time in America","Un ancien gangster juif de la période de la prohibition revient à Manhattan plus de trente ans plus tard, où il doit faire affronter les fantômes et les regrets de son passé."
Will Hunting,"8,3",83.0,Gus Van Sant,"['Robin Williams', 'Matt Damon', 'Ben Affleck']",États-Unis,Anglais,4 mars 1998 (France),Miramax,"Will Hunting, un employé de ménage à M.I.T., a un don pour les mathématiques, mais a besoin de l'aide d'un psychologue pour trouver sa voie."
Toy Story 3,"8,3",84.0,Lee Unkrich,"['Tom Hanks(voix)', 'Tim Allen(voix)', 'Joan Cusack(voix)']",États-Unis,Anglais,14 juillet 2010 (France),"Sociétés de production
Walt Disney PicturesPixar Animation Studios","Les jouets sont livrés par erreur à une garderie au lieu d'être remisés au grenier juste avant qu'Andy ne parte pour l'université, et c'est à Woody de convaincre les autres jouets qu'ils n'ont pas été abandonnés et de retourner à la maison."
Requiem for a Dream,"8,3",85.0,Darren Aronofsky,"['Ellen Burstyn', 'Jared Leto', 'Jennifer Connelly']",États-Unis,"Lieux de tournage
Coney Island, Brooklyn, Ville de New York, New York, États-Unis",21 mars 2001 (France),Voir plus de crédits d'entreprise sur IMDbPro,Les utopies par stupéfiants de quatre habitants de Coney Island sont brisées lorsque leurs addictions s'aggravent.
3 Idiots,"8,5",86.0,Rajkumar Hirani,"['Aamir Khan', 'Madhavan', 'Mona Singh']",Inde,Hindi,24 décembre 2009 (France),"Société de production
Vinod Chopra Productions","""Deux amis sont à la recherche de leur compagnon perdu depuis longtemps. Ils revisitent leurs années d'université et se souviennent des souvenirs de leur ami qui les a inspirés à penser différemment, même si le reste du monde les a traités d'""""idiots""""."""
Chantons sous la pluie,"8,3",87.0,Stanley Donen,"['Gene Kelly', ""Donald O'Connor"", 'Debbie Reynolds']",États-Unis,"Lieux de tournage
Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, Californie, États-Unis",11 septembre 1953 (France),,Une companie de films meut et ses acteurs font la transistion vers les films 'sonores'
Your Name.,"8,4",88.0,Makoto Shinkai,"['Ryûnosuke Kamiki(voix)', 'Mone Kamishiraishi(voix)', 'Ryô Narita(voix)']",Japon,Japonais,28 décembre 2016 (France),East Japan Marketing & Communications Inc.,"Deux étrangers se retrouvent liés d'une étrange manière. Quand une connexion se forme entre eux, la distance sera-t-elle la seule chose qui les séparera?"
Le Retour du Jedi,"8,3",89.0,Richard Marquand,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher']",États-Unis,Anglais,19 octobre 1983 (France),Lucasfilm,"Après une mission risquée qui a permis de sauver Han Solo des mains de Jabba le Hutt, les rebelles se rendent à Endor pour détruire une nouvelle Etoile de la mort, encore plus puissante. Pendant ce temps, Luke se bat pour aider Dark Vador à sortir du côté obscur sans tomber dans le piège de l'Empereur."
Reservoir Dogs,"8,3",90.0,Quentin Tarantino,"['Harvey Keitel', 'Tim Roth', 'Michael Madsen']",États-Unis,Anglais,2 septembre 1992 (France),Live Entertainment,Un chef de la mafia réunit une équipe de six criminels expérimentés dans le but de réaliser un grand braquage de bijouterie.
Eternal Sunshine of the Spotless Mind,"8,3",91.0,Michel Gondry,"['Jim Carrey', 'Kate Winslet', 'Tom Wilkinson']",États-Unis,Anglais,6 octobre 2004 (France),Focus Features,"Lorsque leur relation se dégrade, un couple a recours à une procédure médicale pour effacer tout souvenir de leur relation."
2001 : L'Odyssée de l'espace,"8,3",92.0,Stanley Kubrick,"['Keir Dullea', 'Gary Lockwood', 'William Sylvester']",Royaume-Uni,Anglais,27 septembre 1968 (France),"Isle of Harris, Western Isles, Écosse, Royaume-Uni","De la nuit des temps à l'humanité atteignant les étoiles, 2001: L'odyssée de l'espace raconte l'histoire du Monolithe Noir, l'évolution de l'humanité et l'essor du superordinateur ultime HAL 9000 doté d'intelligence artificielle."
Citizen Kane,"8,3",93.0,Orson Welles,"['Orson Welles', 'Joseph Cotten', 'Dorothy Comingore']",États-Unis,Italien,3 juillet 1946 (France),RKO Radio Pictures,"Suite au décès d'un magnat de l'édition, des journalistes se démènent pour découvrir le sens de ses dernières paroles."
Entre le ciel et l'enfer,"8,4",94.0,Akira Kurosawa,"['Toshirô Mifune', 'Yutaka Sada', 'Tatsuya Nakadai']",Japon,"Lieux de tournage
Toho Studios, Tokyo, Japon",9 juin 1976 (France),,"À Yokohama, un malfaiteur kidnappe un enfant, qu'il prend pour le fils d'un industriel japonais. Il s'agit en fait du fils de son chauffeur. Le commissaire Tokura est chargé de l'affaire."
Lawrence d'Arabie,"8,3",95.0,David Lean,"[""Peter O'Toole"", 'Alec Guinness', 'Anthony Quinn']",Royaume-Uni,Arabe,15 mars 1963 (France),"Société de production
Horizon Pictures (II)","Sur fond d'intrigues géo-politiques cyniques, l'épopée inouïe et la quête pure de l'extraordinaire et si fragile lieutenant Lawrence - amoureux du désert, et chantre déçu de l'identité arabe. Un film somptueux qui nous emporte comme une vague, en musique. [255]"
M le maudit,"8,3",96.0,Fritz Lang,"['Peter Lorre', 'Ellen Widmann', 'Inge Landgut']",Allemagne,"Lieux de tournage
Staaken, Spandau, Berlin, Allemagne",8 avril 1932 (France),,"Lorsque la police d'une ville allemande ne parvient pas à attraper un enfant assassin, d'autres criminels se joignent à la chasse à l'homme."
Capharnaüm,"8,4",97.0,Nadine Labaki,"['Zain Al Rafeea', 'Yordanos Shiferaw', 'Boluwatife Treasure Bankole']",Liban,"Sites officiels
Official FacebookOfficial site",17 octobre 2018 (France),"Aussi connu sous le nom de
Capernaum","Alors qu'il purge une peine de cinq ans pour un crime violent, un garçon de 12 ans intente un procès contre ses parents pour négligence."
La mort aux trousses,"8,3",98.0,Alfred Hitchcock,"['Cary Grant', 'Eva Marie Saint', 'James Mason']",États-Unis,North by Northwest,21 octobre 1959 (France),,"Publicitaire infortuné de la ville de New York, il est pris pour un agent du gouvernement par un groupe d'espions étrangers et est poursuivi dans tout le pays alors qu'il cherche un moyen de survivre."
La chasse,"8,3",99.0,Thomas Vinterberg,"['Mads Mikkelsen', 'Thomas Bo Larsen', 'Annika Wedderkopp']",Danemark,"Langues
DanoisAnglaisPolonais",14 novembre 2012 (France),"Lieux de tournage
Høje Taastrup Church, Taastrup, Danemark","Un professeur mène une vie esseulé, alors qu'il se bat pour la garde de son fils. Sa vie s'améliore doucement quand il trouve l'amour et de bonnes nouvelle de son fils, mais sa nouvelle chance est sur le point d'être écrasée par un petit mensonge innocent."
Sueurs froides,"8,3",100.0,Alfred Hitchcock,"['James Stewart', 'Kim Novak', 'Barbara Bel Geddes']",États-Unis,"Aussi connu sous le nom de
Vertigo",12 décembre 1958 (France),Voir plus de crédits d'entreprise sur IMDbPro,Un ex-lieutenant de police jongle avec ses démons personnels et devient obsédé par une femme d'une beauté envoûtante.
